contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_f_005;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_r_006;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr4_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr4_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr5_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr5_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr4_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_007;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_007;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_008;fr_fr6_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_008;fr_fr6_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr5_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_f_007;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_f_007;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_r_008;fr_fr7_f_007;0.0
('a', 'a~');('fr', 'fr');same;fr_fr6_r_008;fr_fr7_r_008;0.0
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_f_005;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr1_r_006;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_f_005;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr2_r_006;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_f_005;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr3_r_006;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_f_005;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr5_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr4_r_006;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr1_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr1_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr2_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr2_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr3_f_007;96.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr3_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr4_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr4_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr6_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr6_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr7_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_f_005;fr_fr7_r_008;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr6_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr6_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr7_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr5_r_006;fr_fr7_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr1_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr1_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr2_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr2_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr3_f_007;97.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr3_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr4_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr4_r_008;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr5_f_007;98.99999999999999
('a', 'a~');('fr', 'fr');different;fr_fr6_f_005;fr_fr5_r_008;98.99999999999999
